,city,title,url
0,Birmingham,Alabama Mineral & Lapidary Society,http://www.lapidaryclub.com/
1,Dothan,Dothan Gem & Mineral Club,http://www.wiregrassrockhounds.com/
2,Huntsville,Huntsville Gem and Mineral Society,http://huntsvillegms.org/
3,Mobile,Mobile Rock & Gem Society,http://www.mobilerockandgem.com/
4,Montgomery,Montgomery Gem & Mineral Society,http://montgomerygemandmineralsociety.com/mgms/
5,Anchorage,Chugach Gem & Mineral Society,http://www.chugachgemandmineralsociety.com/
6,Palmer,Mat-Su Rock and Mineral Club,http://matsurockclub.com/
7,Apache Junction,Apache Junction Rock and Gem Club,http://www.ajrockclub.com/
8,Black Canyon City,Black Canyon City Rock Club,http://www.bccrockclub.mysite.com/
9,Anthem,Daisy Mountain Rock & Mineral Club,http://www.dmrmc.com/
10,Miami,Gila County Gem & Mineral Society,http://gilagem.org/
11,Sierra Vista,Huachuca Mineral and Gem Club,http://www.huachucamineralandgemclub.info/
12,Lake Havasu City,Lake Havasu Gem & Mineral Society,http://www.lakehavasugms.org/
13,Scottsdale,Mineralogical Society of Arizona,http://www.msaaz.org/
14,Cottonwood,Mingus Gem & Mineral Club,http://www.mingusclub.org/
15,Kingman,Mohave County Gemstoners,http://www.gemstoners.org/
16,Tucson,Old Pueblo Lapidary Club,http://www.lapidaryclub.org/
17,Prescott Valley,Prescott Gem & Mineral Club,http://www.prescottgemmineral.org/
18,Quartzsite,Quartzsite Roadrunners Gem & Mineral Club,http://www.qrgmc.org/
19,Phoenix,Rockhounds West,http://rockhounds.scwclubs.com/
20,Sedona,Sedona Gem & Mineral Club,http://www.sedonagemandmineral.org/
21,Bullhead City,Silvery Colorado River Rock Club,http://scrrc.blogspot.com/
22,Pearce,Sunsites Gem and Mineral Club,https://sites.google.com/site/cochisecountyrock/
23,Tucson,Tucson Gem and Mineral Society,http://www.tgms.org/
24,Cottonwood,Verde River Rockhounds,http://www.verderiverrockhounds.com/
25,Buckeye,West Valley Rock & Mineral Club,http://www.westvalleyrockandmineralclub.com/
26,Show Low,White Mountain Gem & Mineral Club,http://whitemountain-azrockclub.org/
27,Wickenburg,Wickenburg Gem and Mineral Society,http://www.wickenburggms.org/
28,Little Rock,"Central Arkansas Gem, Mineral and Geology Society",http://www.centralarrockhound.org/
29,Siloam Springs,Northwest Arkansas Gem & Mineral Society,http://www.nwarockhounds.org/
30,Mountain Home,"Ozark Earth Science Gem, Mineral & Fossil Club",https://www.ozarkearthscience.com/
31,Sutter Creek,Amador County Gem & Mineral Society,http://www.amadorgemandmineral.org/
32,Anaheim,American Opal Society,http://www.opalsociety.org/
33,Lancaster,Antelope Valley Gem and Mineral Club,http://avgem.weebly.com/
34,Antioch,Antioch Lapidary Club,http://www.antiochlapidaryclub.com/
35,Borrego Springs,Borrego Rock and Gem Club,http://www.abdnha.org/bragclub.html
36,Angels Camp,Calaveras Gem & Mineral Society,http://www.calaverasgemandmineral.org/
37,Pacific Grove,Carmel Valley Gem and Mineral Society,http://www.cvgms.rocks/
38,San Luis Obispo,Central Coast Treasure Hunters Association,http://www.cctha.org/
39,Coalinga,Coalinga Rockhound Society,https://sites.google.com/site/coalingarockhounds/
40,Thousand Oaks,Conejo Gem & Mineral Club,http://www.cgamc.org/
41,Concord,Contra Costa Mineral & Gem Society,http://www.ccmgs.org/
42,Culver City,The Culver City Rock and Mineral Club,http://culvercityrocks.org/
43,Northridge,Del Air Rockhounds Club,http://delairrockhounds.blogspot.com/
44,Bellflower,Delvers Gem & Mineral Society,https://delversgemclub.wordpress.com/
45,El Cajon,El Cajon Valley Gem & Mineral Society,http://www.ecvgms.org/
46,Placerville,El Dorado County Mineral and Gem Society,http://www.eldoradomineralandgem.org/
47,Buena Park,Faceters Guild of Southern California,http://www.fgosc.com/
48,Fallbrook,"Fallbrook Gem and Mineral Society, Inc.",http://www.fgms.org/FGMS/Home.html
49,Oroville,Feather River Lapidary & Mineral Society,http://www.featherriverrocks.org/
50,Yucca Valley,First Class Miners,http://www.firstclassminers.org/
51,North Highlands,"Fossils for Fun Society, Inc.",https://www.facebook.com/The-Fossils-for-Fun-Society-994879667246272/
52,Fresno,Fresno Gem & Mineral Society,http://fgms.us/
53,Placerville,Gold Country Treasure Seekers,https://goldcountrytreasureseekers.shutterfly.com/
54,Yucca Valley,Hi-Desert Rockhounds of Morongo Valley,http://www.hi-desertrockhounds.org/
55,Ridgecrest,Indian Wells Valley Gem & Mineral Society,http://indianwells.weebly.com/
56,Bakersfield,Kern County Mineral Society,http://kerncountymineralsociety.org/
57,Lemoore,Lemoore Gem and Mineral Club,https://www.facebook.com/Lemoore-Gem-and-Mineral-Club-706220872829687/
58,Livermore,Livermore Valley Lithophiles,http://www.lithophiles.com/
59,Lone Pine,Line Pine Gem & Mieral Society,http://lpgms.org/
60,Mariposa,Mariposa Gem & Mineral Club,http://mariposagmc.org/
61,Hayward,Mineral & Gem Society of Castro Valley,http://www.mgscv.org/
62,Pasadena,Mineralogical Society of Southern California,http://www.mineralsocal.org/
63,Barstow,Mojave Desert Gem & Mineral Society,http://www.mdgms.net/
64,Monrovia,Monrovia Rock Hounds Inc.,http://www.moroks.com/
65,Modesto,Mother Lode Mineral Society,http://www.motherlodemineralsociety.com/
66,Mohave Valley,Needles Gem & Mineral Club,http://needlesgemmineralclub.blogspot.com/
67,Grass Valley,Nevada County Gem & Mineral Society,http://www.ncgms.org/
68,Orinda,Northern California Geological Society,http://www.ncgeolsoc.org/
69,La Habra,North Orange County Gem & Mineral Society,http://www.nocgms.com/
70,San Bernardino,Orange Belt Mineralogical Society,http://obmsrocks.yolasite.com/
71,Santa Maria,Orcutt Mineral Society,http://www.omsinc.org/
72,Oxnard,Oxnard Gem & Mineral Society,http://oxnardgem.com/home/
73,Palmdale,Palmdale Gem & Mineral Club,https://www.facebook.com/palmdalegemandmineralclub/
74,Escondido,Palomar Gem & Mineral Club,http://palomargem.org/
75,Rolling Hills Estates,Palos Verdes Gem & Mineral Society,http://www.palos-verdes-gem-and-mineral-society.org/
76,Paradise,Paradise Gem & Mineral Club,http://www.paradisegem.org/
77,Pasadena,Pasadena Lapidary Society,http://www.pasadenalapidarysociety.org/
78,Los Altos,"Peninsula Gem & Geology Society, Inc.",http://pggs.org/
79,Roseville,Roseville Rock Rollers,http://www.rockrollers.com/
80,Brea,Route 66 Gold Miners Inc,http://www.route66goldminers.org/
81,Sacramento,Sacramento Mineral Society,http://www.sacramentomineralsociety.org/
82,North Highlands,Sacramento Valley Detecting Buffs,http://www.sacramentovalleydetectingbuffs.com/
83,Salinas,Salinas Valley Rock and Gem Club,https://salinasrockandgem.pagecloud.com/
84,San Diego,San Diego Gem and Mineral Society,http://www.sdmg.org/
85,San Diego,San Diego Lapidary Society,http://sandiegolapidarysociety.org/
86,San Francisco,"San Francisco Gem and Mineral Society, Inc.",http://www.sfgms.org/
87,Bakersfield,San Joaquin Valley Lapidary Society,http://sjvls.blogspot.com/
88,San Luis Obispo,San Luis Obispo Gem & Mineral Club,http://www.slogem.org/
89,Santa Ana,"Santa Ana Rock & Mineral Club, Inc.",http://www.sarmclub.org/
90,San Jose,Santa Clara Valley Gem & Mineral Society,http://www.scvgms.org/
91,Santa Cruz,Santa Cruz Mineral and Gem Society,https://www.facebook.com/scmgs/
92,Paso Robles,Santa Lucia Rockhounds,http://www.slrockhounds.org/
93,Santa Rosa,"Santa Rosa Mineral And Gem Society, Inc.",http://www.srmgs.org/
94,Anaheim,Searchers Gem and Mineral Society,https://www.searchersrocks.org/
95,Trona,"Searles Lake Gem and Mineral Society, Inc.",http://www1.iwvisp.com/tronagemclub/
96,Redwood City,Sequoia Gem and Mineral Society,http://www.sequoiagemandmineralsociety.org/
